embeddings	embedding_dimention	activation_function	epochs	pca	accuracy	precision	recall	f1_score
word2vec	30	sigmoid	50	nopca	0.795091	0.830581	0.903906	0.865694
word2vec	30	sigmoid	100	pca	0.771689	0.824963	0.872656	0.848140
word2vec	30	sigmoid	100	nopca	0.812215	0.843818	0.911719	0.876455
word2vec	30	sigmoid	200	pca	0.784247	0.878356	0.817969	0.847087
word2vec	30	sigmoid	200	nopca	0.804224	0.873307	0.856250	0.864694
word2vec	30	sigmoid	300	pca	0.805365	0.867084	0.866406	0.866745
word2vec	30	sigmoid	300	nopca	0.749429	0.824710	0.834375	0.829515
word2vec	30	sigmoid	400	pca	0.798516	0.875304	0.844531	0.859642
word2vec	30	sigmoid	400	nopca	0.814498	0.840828	0.920312	0.878777
word2vec	30	sigmoid	500	pca	0.802511	0.867717	0.860938	0.864314
word2vec	30	sigmoid	500	nopca	0.811073	0.887347	0.849219	0.867864
word2vec	30	exponential	50	pca	0.796233	0.858029	0.864062	0.861035
word2vec	30	exponential	50	nopca	0.820776	0.849493	0.917188	0.882044
word2vec	30	exponential	100	pca	0.789384	0.872445	0.833594	0.852577
word2vec	30	exponential	100	nopca	0.813927	0.845152	0.912500	0.877536
word2vec	30	exponential	200	pca	0.787100	0.849653	0.860938	0.855258
word2vec	30	exponential	200	nopca	0.797374	0.892948	0.821094	0.855515
word2vec	30	exponential	300	pca	0.807078	0.871451	0.863281	0.867347
word2vec	30	exponential	300	nopca	0.812215	0.874115	0.867969	0.871031
word2vec	30	exponential	400	pca	0.796804	0.865506	0.854688	0.860063
word2vec	30	exponential	400	nopca	0.789954	0.862480	0.847656	0.855004
word2vec	30	exponential	500	pca	0.799658	0.847420	0.885156	0.865877
word2vec	30	exponential	500	nopca	0.819064	0.868966	0.885938	0.877369
word2vec	50	tanh	50	pca	0.787100	0.844343	0.868750	0.856373
word2vec	50	tanh	50	nopca	0.809361	0.871272	0.867188	0.869225
word2vec	50	tanh	100	pca	0.803082	0.841490	0.900000	0.869762
word2vec	50	tanh	100	nopca	0.803653	0.882353	0.843750	0.862620
word2vec	50	tanh	200	pca	0.804795	0.875801	0.853906	0.864715
word2vec	50	tanh	200	nopca	0.814498	0.847779	0.909375	0.877497
word2vec	50	tanh	300	pca	0.746575	0.839837	0.807031	0.823108
word2vec	50	tanh	300	nopca	0.820776	0.864253	0.895312	0.879509
word2vec	50	tanh	400	pca	0.803082	0.870150	0.858594	0.864333
word2vec	50	tanh	400	nopca	0.784817	0.879093	0.817969	0.847430
word2vec	50	tanh	500	pca	0.783676	0.857256	0.844531	0.850846
word2vec	50	tanh	500	nopca	0.813356	0.865695	0.881250	0.873403
word2vec	50	relu	50	pca	0.789954	0.859055	0.852344	0.855686
word2vec	50	relu	50	nopca	0.836758	0.869242	0.914062	0.891089
word2vec	50	relu	100	pca	0.805936	0.863215	0.872656	0.867910
word2vec	50	relu	100	nopca	0.811073	0.853840	0.894531	0.873712
word2vec	50	relu	200	pca	0.780251	0.868313	0.824219	0.845691
word2vec	50	relu	200	nopca	0.817922	0.875684	0.875000	0.875342
word2vec	50	relu	300	pca	0.802511	0.869462	0.858594	0.863994
word2vec	50	relu	300	nopca	0.815639	0.863878	0.887500	0.875530
word2vec	50	relu	400	pca	0.798516	0.846154	0.885156	0.865216
word2vec	50	relu	400	nopca	0.803082	0.862122	0.869531	0.865811
word2vec	50	relu	500	pca	0.795091	0.875306	0.839063	0.856801
word2vec	50	relu	500	nopca	0.804795	0.863003	0.871094	0.867030
word2vec	50	sigmoid	50	pca	0.819064	0.867277	0.888281	0.877653
word2vec	50	sigmoid	50	nopca	0.811073	0.877486	0.861719	0.869531
word2vec	50	sigmoid	100	pca	0.820205	0.866363	0.891406	0.878706
word2vec	50	sigmoid	100	nopca	0.819064	0.862302	0.895312	0.878498
word2vec	50	sigmoid	200	pca	0.803082	0.859892	0.872656	0.866227
word2vec	50	sigmoid	200	nopca	0.819635	0.853372	0.909375	0.880484
word2vec	50	sigmoid	300	pca	0.792237	0.870550	0.840625	0.855326
word2vec	50	sigmoid	300	nopca	0.822489	0.875873	0.882031	0.878941
word2vec	50	sigmoid	400	pca	0.776826	0.791858	0.942187	0.860507
word2vec	50	sigmoid	400	nopca	0.777397	0.816501	0.896875	0.854803
word2vec	50	sigmoid	500	pca	0.756279	0.877768	0.774219	0.822748
word2vec	50	sigmoid	500	nopca	0.811644	0.882448	0.856250	0.869151
word2vec	50	exponential	50	pca	0.788242	0.858721	0.850000	0.854338
word2vec	50	exponential	50	nopca	0.813927	0.881600	0.860938	0.871146
word2vec	50	exponential	100	pca	0.751712	0.806826	0.867969	0.836282
word2vec	50	exponential	100	nopca	0.775114	0.833083	0.865625	0.849042
word2vec	50	exponential	200	pca	0.795662	0.867038	0.850781	0.858833
word2vec	50	exponential	200	nopca	0.804224	0.861218	0.872656	0.866899
word2vec	50	exponential	300	pca	0.800228	0.872596	0.850781	0.861551
word2vec	50	exponential	300	nopca	0.829909	0.891547	0.873437	0.882399
word2vec	50	exponential	400	pca	0.801941	0.856924	0.875000	0.865868
word2vec	50	exponential	400	nopca	0.791667	0.882845	0.824219	0.852525
word2vec	50	exponential	500	pca	0.796804	0.873183	0.844531	0.858618
word2vec	50	exponential	500	nopca	0.812785	0.875394	0.867188	0.871272
word2vec	100	tanh	50	pca	0.803653	0.842606	0.899219	0.869992
word2vec	100	tanh	50	nopca	0.810502	0.856928	0.889062	0.872699
word2vec	100	tanh	100	pca	0.791667	0.865707	0.846094	0.855788
word2vec	100	tanh	100	nopca	0.799087	0.858025	0.868750	0.863354
word2vec	100	tanh	200	pca	0.803082	0.877930	0.848437	0.862932
word2vec	100	tanh	200	nopca	0.815639	0.859504	0.893750	0.876293
word2vec	100	tanh	300	pca	0.795662	0.847662	0.878125	0.862625
word2vec	100	tanh	300	nopca	0.778539	0.812763	0.905469	0.856615
word2vec	100	tanh	400	pca	0.779110	0.860954	0.832031	0.846246
word2vec	100	tanh	400	nopca	0.803082	0.863813	0.867188	0.865497
word2vec	100	tanh	500	pca	0.758562	0.778790	0.935156	0.849840
word2vec	100	tanh	500	nopca	0.821347	0.881009	0.873437	0.877207
word2vec	100	relu	50	pca	0.746575	0.834400	0.814844	0.824506
word2vec	100	relu	50	nopca	0.814498	0.867590	0.880469	0.873982
word2vec	100	relu	100	pca	0.790525	0.844009	0.875000	0.859225
word2vec	100	relu	100	nopca	0.807078	0.871451	0.863281	0.867347
word2vec	100	relu	200	pca	0.791096	0.865016	0.846094	0.855450
word2vec	100	relu	200	nopca	0.796233	0.860829	0.860156	0.860492
word2vec	100	relu	300	pca	0.810502	0.881643	0.855469	0.868358
word2vec	100	relu	300	nopca	0.807078	0.871451	0.863281	0.867347
word2vec	100	relu	400	pca	0.788813	0.847859	0.866406	0.857032
word2vec	100	relu	400	nopca	0.830479	0.870384	0.902344	0.886076
word2vec	100	relu	500	pca	0.825913	0.879969	0.882031	0.880999
word2vec	100	relu	500	nopca	0.747717	0.842320	0.805469	0.823482
word2vec	100	sigmoid	50	pca	0.801941	0.868775	0.858594	0.863654
word2vec	100	sigmoid	50	nopca	0.823059	0.870795	0.889844	0.880216
word2vec	100	sigmoid	100	pca	0.780822	0.837349	0.868750	0.852761
word2vec	100	sigmoid	100	nopca	0.815068	0.853550	0.901563	0.876900
word2vec	100	sigmoid	200	pca	0.802511	0.868878	0.859375	0.864101
word2vec	100	sigmoid	200	nopca	0.803653	0.886777	0.838281	0.861847
word2vec	100	sigmoid	300	pca	0.812785	0.857357	0.892188	0.874426
word2vec	100	sigmoid	300	nopca	0.806507	0.867291	0.867969	0.867630
word2vec	100	sigmoid	400	pca	0.775685	0.878736	0.803906	0.839657
word2vec	100	sigmoid	400	nopca	0.812785	0.871875	0.871875	0.871875
word2vec	100	sigmoid	500	pca	0.789954	0.845979	0.871094	0.858353
word2vec	100	sigmoid	500	nopca	0.821918	0.869466	0.889844	0.879537
